prodi;skor_pakar;kategori;catatan
Arsitektur;58;cukup efisien;tidak ada
S1 Informatika;70;kurang efisien;SKS tidak merata, jadwal kuliah tidak efektif di mata kuliah tertentu
Sains Biomedis;51;cukup efisien;pada semester gasal 2025/2026 prodi sains biomedis mengalami sedikit kendala karena hanya disediakan 1 ruang (R.402) berkapasitas 40 mahasiswa, sementara angkatan 2025 berjumlah 50 mahasiswa sehingga proses perkuliahan di kelas menjadi kurang nyaman. jumlah mahasiswa sebaiknya menjadi salah satu parameter dalam menentukan ruangan saat penjadwalan oleh fakultas
S1 Teknik Industri;75;kurang efisien;"terkadang kuota aktual dengan kuota pada sistem kurang sesuai. Availability ruangan sangat rendah, sistem ""siapa cepat dia dapat"" untuk plot jam kuliah, merugikan prodi yang input di akhir."
S2 Teknik Industri;65;kurang efisien;tidak ada
Matematika;45;cukup efisien;selama belum ada kelas tambahan masih cukup, walaupun penjadwalannya sangat sulit
Kimia;30;efisien;pemanfaatan ruang kuliah belum optimal, masih sering ditemukan ruang kelas kosong saat jam perkuliahan
Biologi;55;cukup efisien;membuat jadwal agak rumit karena harus mengatur dengan praktikum
Fisika;39;efisien;tidak ada
S2 Informatika;50;cukup efisien;tidak ada